Gemeentecode;Gemeentenaam;Provincienaam;Provinciecode
0384;Diemen;Noord-Holland;27
1774;Dinkelland;Overijssel;23
0221;Doesburg;Gelderland;25
0222;Doetinchem;Gelderland;25
0766;Dongen;Noord-Brabant;30
0058;Dongeradeel;Friesland;21
0505;Dordrecht;Zuid-Holland;28
0498;Drechterland;Noord-Holland;27
1719;Drimmelen;Noord-Brabant;30
0303;Dronten;Flevoland;24
0225;Druten;Gelderland;25
0226;Duiven;Gelderland;25
1711;Echt-Susteren;Limburg;31
0385;Edam-Volendam;Noord-Holland;27
0228;Ede;Gelderland;25
0317;Eemnes;Utrecht;26
1651;Eemsmond;Groningen;20
0770;Eersel;Noord-Brabant;30
1903;Eijsden-Margraten;Limburg;31
0772;Eindhoven;Noord-Brabant;30
0230;Elburg;Gelderland;25
0114;Emmen;Drenthe;22
0388;Enkhuizen;Noord-Holland;27
0153;Enschede;Overijssel;23
0232;Epe;Gelderland;25
0233;Ermelo;Gelderland;25
0777;Etten-Leur;Noord-Brabant;30
1722;Ferwerderadiel;Friesland;21
0070;Franekeradeel;Friesland;21
1940;De Fryske Marren;Friesland;21
0779;Geertruidenberg;Noord-Brabant;30
0236;Geldermalsen;Gelderland;25
1771;Geldrop-Mierlo;Noord-Brabant;30
1652;Gemert-Bakel;Noord-Brabant;30
0907;Gennep;Limburg;31
0689;Giessenlanden;Zuid-Holland;28
0784;Gilze en Rijen;Noord-Brabant;30
1924;Goeree-Overflakkee;Zuid-Holland;28
0664;Goes;Zeeland;29
0785;Goirle;Noord-Brabant;30
1942;Gooise Meren;Noord-Holland;27
0512;Gorinchem;Zuid-Holland;28
0513;Gouda;Zuid-Holland;28
0786;Grave;Noord-Brabant;30
0518;'s-Gravenhage;Zuid-Holland;28
0014;Groningen;Groningen;20
0015;Grootegast;Groningen;20
1729;Gulpen-Wittem;Limburg;31
0158;Haaksbergen;Overijssel;23
0788;Haaren;Noord-Brabant;30
0392;Haarlem;Noord-Holland;27
0393;Haarlemmerliede en Spaarnwoude;Noord-Holland;27
0394;Haarlemmermeer;Noord-Holland;27
1655;Halderberge;Noord-Brabant;30
0160;Hardenberg;Overijssel;23
0243;Harderwijk;Gelderland;25
0523;Hardinxveld-Giessendam;Zuid-Holland;28
0017;Haren;Groningen;20
0072;Harlingen;Friesland;21
0244;Hattem;Gelderland;25
0396;Heemskerk;Noord-Holland;27
0397;Heemstede;Noord-Holland;27
0246;Heerde;Gelderland;25
0074;Heerenveen;Friesland;21
0398;Heerhugowaard;Noord-Holland;27
0917;Heerlen;Limburg;31
1658;Heeze-Leende;Noord-Brabant;30
0399;Heiloo;Noord-Holland;27
0400;Den Helder;Noord-Holland;27
0163;Hellendoorn;Overijssel;23
0530;Hellevoetsluis;Zuid-Holland;28
0794;Helmond;Noord-Brabant;30
0531;Hendrik-Ido-Ambacht;Zuid-Holland;28
0164;Hengelo;Overijssel;23
0796;'s-Hertogenbosch;Noord-Brabant;30
0252;Heumen;Gelderland;25
0797;Heusden;Noord-Brabant;30
0534;Hillegom;Zuid-Holland;28
0798;Hilvarenbeek;Noord-Brabant;30
0402;Hilversum;Noord-Holland;27
1735;Hof van Twente;Overijssel;23
1911;Hollands Kroon;Noord-Holland;27
0118;Hoogeveen;Drenthe;22
0018;Hoogezand-Sappemeer;Groningen;20
0405;Hoorn;Noord-Holland;27
1507;Horst aan de Maas;Limburg;31
0321;Houten;Utrecht;26
0406;Huizen;Noord-Holland;27
0677;Hulst;Zeeland;29
0353;IJsselstein;Utrecht;26
1884;Kaag en Braassem;Zuid-Holland;28
0166;Kampen;Overijssel;23
0678;Kapelle;Zeeland;29
0537;Katwijk;Zuid-Holland;28
0928;Kerkrade;Limburg;31
1598;Koggenland;Noord-Holland;27
0079;Kollumerland en Nieuwkruisland;Friesland;21
0588;Korendijk;Zuid-Holland;28
0542;Krimpen aan den IJssel;Zuid-Holland;28
1931;Krimpenerwaard;Zuid-Holland;28
1659;Laarbeek;Noord-Brabant;30
1685;Landerd;Noord-Brabant;30
0882;Landgraaf;Limburg;31
0415;Landsmeer;Noord-Holland;27
0416;Langedijk;Noord-Holland;27
1621;Lansingerland;Zuid-Holland;28
0417;Laren;Noord-Holland;27
0022;Leek;Groningen;20
0545;Leerdam;Zuid-Holland;28
0080;Leeuwarden;Friesland;21
0081;Leeuwarderadeel;Friesland;21
0546;Leiden;Zuid-Holland;28
0547;Leiderdorp;Zuid-Holland;28
1916;Leidschendam-Voorburg;Zuid-Holland;28
0995;Lelystad;Flevoland;24
1640;Leudal;Limburg;31
0327;Leusden;Utrecht;26
0733;Lingewaal;Gelderland;25
1705;Lingewaard;Gelderland;25
0553;Lisse;Zuid-Holland;28
0140;Littenseradiel;Friesland;21
0262;Lochem;Gelderland;25
0809;Loon op Zand;Noord-Brabant;30
0331;Lopik;Utrecht;26
0024;Loppersum;Groningen;20
0168;Losser;Overijssel;23
0263;Maasdriel;Gelderland;25
1641;Maasgouw;Limburg;31
0556;Maassluis;Zuid-Holland;28
0935;Maastricht;Limburg;31
1663;De Marne;Groningen;20
0025;Marum;Groningen;20
0420;Medemblik;Noord-Holland;27
0938;Meerssen;Limburg;31
1908;Menameradiel;Friesland;21
1987;Menterwolde;Groningen;20
0119;Meppel;Drenthe;22
0687;Middelburg;Zeeland;29
1842;Midden-Delfland;Zuid-Holland;28
1731;Midden-Drenthe;Drenthe;22
0815;Mill en Sint Hubert;Noord-Brabant;30
1709;Moerdijk;Noord-Brabant;30
1927;Molenwaard;Zuid-Holland;28
1955;Montferland;Gelderland;25
0335;Montfoort;Utrecht;26
0944;Mook en Middelaar;Limburg;31
1740;Neder-Betuwe;Gelderland;25
0946;Nederweert;Limburg;31
0304;Neerijnen;Gelderland;25
0356;Nieuwegein;Utrecht;26
0569;Nieuwkoop;Zuid-Holland;28
0267;Nijkerk;Gelderland;25
0268;Nijmegen;Gelderland;25
1930;Nissewaard;Zuid-Holland;28
1695;Noord-Beveland;Zeeland;29
1699;Noordenveld;Drenthe;22
0171;Noordoostpolder;Flevoland;24
0575;Noordwijk;Zuid-Holland;28
0576;Noordwijkerhout;Zuid-Holland;28
0820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;30
0302;Nunspeet;Gelderland;25
0951;Nuth;Limburg;31
0579;Oegstgeest;Zuid-Holland;28
0823;Oirschot;Noord-Brabant;30
0824;Oisterwijk;Noord-Brabant;30
1895;Oldambt;Groningen;20
0269;Oldebroek;Gelderland;25
0173;Oldenzaal;Overijssel;23
1773;Olst-Wijhe;Overijssel;23
0175;Ommen;Overijssel;23
0881;Onderbanken;Limburg;31
1586;Oost Gelre;Gelderland;25
0826;Oosterhout;Noord-Brabant;30
0085;Ooststellingwerf;Friesland;21
0431;Oostzaan;Noord-Holland;27
0432;Opmeer;Noord-Holland;27
0086;Opsterland;Friesland;21
0828;Oss;Noord-Brabant;30
0584;Oud-Beijerland;Zuid-Holland;28
1509;Oude IJsselstreek;Gelderland;25
0437;Ouder-Amstel;Noord-Holland;27
0589;Oudewater;Utrecht;26
1734;Overbetuwe;Gelderland;25
0590;Papendrecht;Zuid-Holland;28
1894;Peel en Maas;Limburg;31
0765;Pekela;Groningen;20
1926;Pijnacker-Nootdorp;Zuid-Holland;28
0439;Purmerend;Noord-Holland;27
0273;Putten;Gelderland;25
0177;Raalte;Overijssel;23
0703;Reimerswaal;Zeeland;29
0274;Renkum;Gelderland;25
0339;Renswoude;Utrecht;26
1667;Reusel-De Mierden;Noord-Brabant;30
0275;Rheden;Gelderland;25
0340;Rhenen;Utrecht;26
0597;Ridderkerk;Zuid-Holland;28
0196;Rijnwaarden;Gelderland;25
1742;Rijssen-Holten;Overijssel;23
0603;Rijswijk;Zuid-Holland;28
1669;Roerdalen;Limburg;31
0957;Roermond;Limburg;31
0736;De Ronde Venen;Utrecht;26
1674;Roosendaal;Noord-Brabant;30
0599;Rotterdam;Zuid-Holland;28
0277;Rozendaal;Gelderland;25
0840;Rucphen;Noord-Brabant;30
0441;Schagen;Noord-Holland;27
0279;Scherpenzeel;Gelderland;25
0606;Schiedam;Zuid-Holland;28
0088;Schiermonnikoog;Friesland;21
0844;Schijndel;Noord-Brabant;30
0962;Schinnen;Limburg;31
1676;Schouwen-Duiveland;Zeeland;29
0965;Simpelveld;Limburg;31
1702;Sint Anthonis;Noord-Brabant;30
0845;Sint-Michielsgestel;Noord-Brabant;30
0846;Sint-Oedenrode;Noord-Brabant;30
1883;Sittard-Geleen;Limburg;31
0610;Sliedrecht;Zuid-Holland;28
0040;Slochteren;Groningen;20
1714;Sluis;Zeeland;29
0090;Smallingerland;Friesland;21
0342;Soest;Utrecht;26
0847;Someren;Noord-Brabant;30
0848;Son en Breugel;Noord-Brabant;30
0037;Stadskanaal;Groningen;20
0180;Staphorst;Overijssel;23
0532;Stede Broec;Noord-Holland;27
0851;Steenbergen;Noord-Brabant;30
1708;Steenwijkerland;Overijssel;23
0971;Stein;Limburg;31
1904;Stichtse Vecht;Utrecht;26
0617;Strijen;Zuid-Holland;28
1900;Súdwest-Fryslân;Friesland;21
0715;Terneuzen;Zeeland;29
0093;Terschelling;Friesland;21
0448;Texel;Noord-Holland;27
1525;Teylingen;Zuid-Holland;28
0716;Tholen;Zeeland;29
0281;Tiel;Gelderland;25
0855;Tilburg;Noord-Brabant;30
0183;Tubbergen;Overijssel;23
1700;Twenterand;Overijssel;23
1730;Tynaarlo;Drenthe;22
0737;Tytsjerksteradiel;Friesland;21
0856;Uden;Noord-Brabant;30
0450;Uitgeest;Noord-Holland;27
0451;Uithoorn;Noord-Holland;27
0184;Urk;Flevoland;24
0344;Utrecht;Utrecht;26
1581;Utrechtse Heuvelrug;Utrecht;26
0981;Vaals;Limburg;31
0994;Valkenburg aan de Geul;Limburg;31
0858;Valkenswaard;Noord-Brabant;30
0047;Veendam;Groningen;20
0345;Veenendaal;Utrecht;26
0717;Veere;Zeeland;29
0860;Veghel;Noord-Brabant;30
0861;Veldhoven;Noord-Brabant;30
0453;Velsen;Noord-Holland;27
0983;Venlo;Limburg;31
0984;Venray;Limburg;31
0620;Vianen;Utrecht;26
0622;Vlaardingen;Zuid-Holland;28
0048;Vlagtwedde;Groningen;20
0096;Vlieland;Friesland;21
0718;Vlissingen;Zeeland;29
0986;Voerendaal;Limburg;31
0626;Voorschoten;Zuid-Holland;28
0285;Voorst;Gelderland;25
0865;Vught;Noord-Brabant;30
0866;Waalre;Noord-Brabant;30
0867;Waalwijk;Noord-Brabant;30
0627;Waddinxveen;Zuid-Holland;28
0289;Wageningen;Gelderland;25
0629;Wassenaar;Zuid-Holland;28
0852;Waterland;Noord-Holland;27
0988;Weert;Limburg;31
0457;Weesp;Noord-Holland;27
0870;Werkendam;Noord-Brabant;30
0668;West Maas en Waal;Gelderland;25
1701;Westerveld;Drenthe;22
0293;Westervoort;Gelderland;25
1783;Westland;Zuid-Holland;28
0098;Weststellingwerf;Friesland;21
0614;Westvoorne;Zuid-Holland;28
0189;Wierden;Overijssel;23
0296;Wijchen;Gelderland;25
1696;Wijdemeren;Noord-Holland;27
0352;Wijk bij Duurstede;Utrecht;26
0053;Winsum;Groningen;20
0294;Winterswijk;Gelderland;25
0873;Woensdrecht;Noord-Brabant;30
0632;Woerden;Utrecht;26
1690;De Wolden;Drenthe;22
0880;Wormerland;Noord-Holland;27
0351;Woudenberg;Utrecht;26
0874;Woudrichem;Noord-Brabant;30
0479;Zaanstad;Noord-Holland;27
0297;Zaltbommel;Gelderland;25
0473;Zandvoort;Noord-Holland;27
0707;Zederik;Zuid-Holland;28
0050;Zeewolde;Flevoland;24
0355;Zeist;Utrecht;26
0299;Zevenaar;Gelderland;25
0637;Zoetermeer;Zuid-Holland;28
0638;Zoeterwoude;Zuid-Holland;28
0056;Zuidhorn;Groningen;20
1892;Zuidplas;Zuid-Holland;28
0879;Zundert;Noord-Brabant;30
0301;Zutphen;Gelderland;25
1896;Zwartewaterland;Overijssel;23
0642;Zwijndrecht;Zuid-Holland;28
0193;Zwolle;Overijssel;23
